wavenumber_cm-1,intensity
81756.683711,0.000000
81782.999500,0.000000
81809.315290,0.000000
81835.631079,0.000000
81861.946869,0.020654
81888.262658,0.010194
81914.578448,0.045621
81940.894237,0.000000
81967.210027,0.014620
81993.525816,0.023783
82019.841606,0.070287
82046.157395,0.004343
82072.473184,0.000000
82098.788974,0.025438
82125.104763,0.055973
82151.420553,0.000000
82177.736342,0.025233
82204.052132,0.036863
82230.367921,0.030513
82256.683711,0.003767
82256.683711,0.000000
82256.760120,0.000000
82256.836529,0.013758
82256.912938,0.027247
82256.989347,0.010019
82257.065756,0.000000
82257.142165,0.016662
82257.218574,0.025803
82257.294983,0.011389
82257.371392,0.000000
82257.447801,0.000000
82257.524210,0.028435
82257.600619,0.000000
82257.677028,0.000000
82257.753437,0.045244
82257.829846,0.015343
82257.906255,0.018203
82257.982664,0.000000
82258.059073,0.022186
82258.135482,0.008936
82258.211891,0.000000
82258.288300,0.072218
82258.364709,0.118390
82258.441118,0.295422
82258.517527,0.578885
82258.593936,0.772318
82258.670346,0.954161
82258.746755,0.958070
82258.823164,0.910998
82258.899573,0.804896
82258.975982,0.455082
82259.052391,0.234413
82259.128800,0.162751
82259.205209,0.405403
82259.281618,0.978893
82259.358027,1.683995
82259.434436,1.989640
82259.510845,1.644773
82259.587254,1.027450
82259.663663,0.486118
82259.740072,0.192551
82259.816481,0.229613
82259.892890,0.540864
82259.969299,0.723137
82260.045708,0.906777
82260.122117,0.929330
82260.198526,0.901573
82260.274935,0.824376
82260.351344,0.564300
82260.427753,0.307685
82260.504162,0.114444
82260.580571,0.010848
82260.656980,0.000000
82260.733389,0.000000
82260.809798,0.024356
82260.886207,0.000000
82260.962616,0.024742
82261.039025,0.017575
82261.115434,0.017146
82261.191843,0.041636
82261.268252,0.000000
82261.344661,0.000000
82261.421071,0.052900
82261.497480,0.000000
82261.573889,0.000000
82261.650298,0.000000
82261.726707,0.004048
82261.803116,0.000000
82261.879525,0.040019
82261.955934,0.000000
82262.032343,0.009857
82262.108752,0.000000
82262.185161,0.000000
82262.185161,0.000000
83063.638792,0.000000
83865.092423,0.032571
84666.546054,0.000000
85467.999685,0.000000
86269.453317,0.000000
87070.906948,0.035885
87872.360579,0.043927
88673.814210,0.035543
89475.267841,0.014773
90276.721472,0.008695
91078.175104,0.000000
91879.628735,0.000000
92681.082366,0.000000
93482.535997,0.000000
94283.989628,0.031712
95085.443259,0.000000
95886.896891,0.035879
96688.350522,0.026453
97489.804153,0.016702
97489.804153,0.018387
97489.880562,0.000000
97489.956971,0.055737
97490.033380,0.001294
97490.109789,0.009058
97490.186198,0.000000
97490.262607,0.000000
97490.339016,0.014319
97490.415425,0.006526
97490.491834,0.000000
97490.568243,0.000000
97490.644652,0.000000
97490.721061,0.035885
97490.797470,0.000000
97490.873879,0.000000
97490.950288,0.043511
97491.026697,0.000000
97491.103106,0.000000
97491.179515,0.000000
97491.255925,0.048590
97491.332334,0.060369
97491.408743,0.027383
97491.485152,0.052673
97491.561561,0.107344
97491.637970,0.438046
97491.714379,0.832961
97491.790788,1.309664
97491.867197,1.431481
97491.943606,1.143094
97492.020015,0.712791
97492.096424,0.292231
97492.172833,0.146042
97492.249242,0.136930
97492.325651,0.373324
97492.402060,0.956811
97492.478469,1.673884
97492.554878,1.981206
97492.631287,1.637570
97492.707696,1.010355
97492.784105,0.382430
97492.860514,0.133416
97492.936923,0.111384
97493.013332,0.258394
97493.089741,0.706424
97493.166150,1.117620
97493.242559,1.442496
97493.318968,1.291454
97493.395377,0.823303
97493.471786,0.340716
97493.548195,0.150880
97493.624604,0.051477
97493.701013,0.000000
97493.777422,0.021791
97493.853831,0.011294
97493.930240,0.000000
97494.006650,0.000000
97494.083059,0.034149
97494.159468,0.009283
97494.235877,0.000000
97494.312286,0.000000
97494.388695,0.000000
97494.465104,0.000000
97494.541513,0.000000
97494.617922,0.000000
97494.694331,0.034201
97494.770740,0.029120
97494.847149,0.000000
97494.923558,0.004089
97494.999967,0.000000
97495.076376,0.000000
97495.152785,0.000000
97495.229194,0.000000
97495.305603,0.060090
97495.305603,0.000000
97775.626346,0.000000
98055.947090,0.000000
98336.267834,0.031314
98616.588577,0.000000
98896.909321,0.000000
99177.230064,0.043406
99457.550808,0.007320
99737.871551,0.005758
100018.192295,0.063966
100298.513038,0.007391
100578.833782,0.000000
100859.154525,0.000000
101139.475269,0.000000
101419.796012,0.037679
101700.116756,0.017237
101980.437499,0.033733
102260.758243,0.036390
102541.078986,0.000000
102821.399730,0.000000
102821.399730,0.000000
102821.476139,0.000000
102821.552548,0.004949
102821.628957,0.033964
102821.705366,0.000000
102821.781775,0.004500
102821.858184,0.000000
102821.934593,0.024082
102822.011002,0.000000
102822.087411,0.000000
102822.163820,0.014126
102822.240229,0.029636
102822.316638,0.013392
102822.393047,0.000000
102822.469456,0.000000
102822.545865,0.014835
102822.622274,0.004244
102822.698683,0.000000
102822.775092,0.054677
102822.851501,0.000000
102822.927910,0.053627
102823.004319,0.004505
102823.080729,0.000000
102823.157138,0.104365
102823.233547,0.386955
102823.309956,0.808869
102823.386365,1.271928
102823.462774,1.477241
102823.539183,1.145117
102823.615592,0.663778
102823.692001,0.278392
102823.768410,0.059314
102823.844819,0.104477
102823.921228,0.420758
102823.997637,0.948453
102824.074046,1.638321
102824.150455,1.964639
102824.226864,1.681348
102824.303273,0.983494
102824.379682,0.377537
102824.456091,0.125804
102824.532500,0.136818
102824.608909,0.225967
102824.685318,0.590469
102824.761727,1.184485
102824.838136,1.478864
102824.914545,1.294871
102824.990954,0.839384
102825.067363,0.383347
102825.143772,0.043491
102825.220181,0.003999
102825.296590,0.073078
102825.372999,0.017877
102825.449408,0.020311
102825.525817,0.035189
102825.602226,0.000512
102825.678635,0.023901
102825.755044,0.021542
102825.831454,0.016172
102825.907863,0.000000
102825.984272,0.005162
102826.060681,0.000000
102826.137090,0.000384
102826.213499,0.000000
102826.289908,0.000000
102826.366317,0.000000
102826.442726,0.000000
102826.519135,0.000000
102826.595544,0.000000
102826.671953,0.012068
102826.748362,0.028478
102826.824771,0.000000
102826.901180,0.040054
102826.901180,0.028159
102956.494009,0.015123
103086.086838,0.004610
103215.679667,0.009574
103345.272497,0.035612
103474.865326,0.036708
103604.458155,0.040049
103734.050984,0.001240
103863.643813,0.016649
103993.236643,0.040307
104122.829472,0.000000
104252.422301,0.000000
104382.015130,0.000481
104511.607959,0.026989
104641.200788,0.027456
104770.793618,0.000000
104900.386447,0.000000
105029.979276,0.007386
105159.572105,0.000000
105289.164934,0.000000
105289.164934,0.000000
105289.241343,0.009792
105289.317752,0.040832
105289.394161,0.001167
105289.470570,0.006342
105289.546979,0.035488
105289.623388,0.000000
105289.699797,0.015606
105289.776207,0.000000
105289.852616,0.016982
105289.929025,0.000000
105290.005434,0.000000
105290.081843,0.004215
105290.158252,0.049477
105290.234661,0.025828
105290.311070,0.000000
105290.387479,0.000000
105290.463888,0.000000
105290.540297,0.039485
105290.616706,0.000000
105290.693115,0.000000
105290.769524,0.042992
105290.845933,0.000000
105290.922342,0.152109
105290.998751,0.347062
105291.075160,0.784471
105291.151569,1.313948
105291.227978,1.468235
105291.304387,1.187217
105291.380796,0.627271
105291.457205,0.194461
105291.533614,0.082558
105291.610023,0.084392
105291.686432,0.404079
105291.762841,0.938590
105291.839250,1.656145
105291.915659,2.005479
105291.992068,1.664412
105292.068477,0.981718
105292.144886,0.418359
105292.221295,0.090350
105292.297704,0.087243
105292.374113,0.151924
105292.450522,0.654136
105292.526932,1.164967
105292.603341,1.460410
105292.679750,1.330841
105292.756159,0.854112
105292.832568,0.340391
105292.908977,0.078995
105292.985386,0.027652
