wavenumber_cm-1,intensity
81753.765836,0.016216
81780.081625,0.000000
81806.397415,0.000000
81832.713204,0.000000
81859.028994,0.000000
81885.344783,0.005903
81911.660573,0.000000
81937.976362,0.000000
81964.292152,0.000000
81990.607941,0.000000
82016.923731,0.000000
82043.239520,0.000000
82069.555309,0.000000
82095.871099,0.000792
82122.186888,0.000000
82148.502678,0.003315
82174.818467,0.013546
82201.134257,0.008518
82227.450046,0.013711
82253.765836,0.000000
82253.765836,0.000000
82253.768337,0.009388
82253.770838,0.009645
82253.773339,0.000000
82253.775840,0.008785
82253.778341,0.000000
82253.780842,0.006910
82253.783343,0.000000
82253.785844,0.000000
82253.788345,0.000000
82253.790846,0.031345
82253.793347,0.002913
82253.795848,0.033043
82253.798349,0.000000
82253.800850,0.010783
82253.803351,0.000000
82253.805852,0.000000
82253.808353,0.009067
82253.810854,0.012035
82253.813355,0.000000
82253.815857,0.014925
82253.818358,0.000000
82253.820859,0.000000
82253.823360,0.000000
82253.825861,0.000000
82253.828362,0.022547
82253.830863,0.000690
82253.833364,0.015618
82253.835865,0.015006
82253.838366,0.000000
82253.840867,0.017468
82253.843368,0.007231
82253.845869,0.000000
82253.848370,0.006447
82253.850871,0.000000
82253.853372,0.023074
82253.855873,0.011689
82253.858374,0.000000
82253.860875,0.018167
82253.863376,0.000000
82253.865877,0.000000
82253.868378,0.000000
82253.870879,0.032112
82253.873380,0.000000
82253.875881,0.000000
82253.878382,0.000000
82253.880883,0.013016
82253.883385,0.000000
82253.885886,0.000000
82253.888387,0.010957
82253.890888,0.000000
82253.893389,0.002932
82253.895890,0.007688
82253.898391,0.000000
82253.900892,0.000000
82253.903393,0.003475
82253.905894,0.012470
82253.908395,0.000000
82253.910896,0.000000
82253.913397,0.009761
82253.915898,0.013325
82253.918399,0.002873
82253.920900,0.003854
82253.923401,0.000000
82253.925902,0.007184
82253.928403,0.012254
82253.930904,0.000811
82253.933405,0.035783
82253.935906,0.000000
82253.938407,0.002341
82253.940908,0.000000
82253.943409,0.012638
82253.945910,0.000000
82253.948411,0.000000
82253.950913,0.000000
82253.953414,0.003818
82253.955915,0.000000
82253.958416,0.000000
82253.960917,0.000000
82253.963418,0.000000
82253.965919,0.021365
82253.968420,0.009852
82253.970921,0.000000
82253.973422,0.030120
82253.975923,0.007062
82253.978424,0.000000
82253.980925,0.003684
82253.983426,0.007692
82253.985927,0.000000
82253.988428,0.000000
82253.990929,0.001242
82253.993430,0.000000
82253.995931,0.021246
82253.998432,0.010646
82254.000933,0.000000
82254.003434,0.006118
82254.005935,0.018200
82254.008436,0.000000
82254.010937,0.000000
82254.013438,0.000000
82254.015939,0.000511
82254.018441,0.000000
82254.020942,0.000000
82254.023443,0.000000
82254.025944,0.005519
82254.028445,0.016287
82254.030946,0.000000
82254.033447,0.035024
82254.035948,0.028162
82254.038449,0.019093
82254.040950,0.008941
