wavelength_nm,intensity
85.000000,0.002205
85.016672,0.000000
85.033344,0.002875
85.050017,0.006761
85.066689,0.000000
85.083361,0.000000
85.100033,0.007010
85.116706,0.003407
85.133378,0.000000
85.150050,0.002408
85.166722,0.000000
85.183394,0.000000
85.200067,0.001074
85.216739,0.000000
85.233411,0.000000
85.250083,0.000000
85.266756,0.000000
85.283428,0.001395
85.300100,0.000000
85.316772,0.000000
85.333444,0.006506
85.350117,0.000000
85.366789,0.000300
85.383461,0.000000
85.400133,0.000000
85.416806,0.000492
85.433478,0.000000
85.450150,0.001668
85.466822,0.000000
85.483494,0.000000
85.500167,0.000000
85.516839,0.008222
85.533511,0.000000
85.550183,0.000000
85.566856,0.003651
85.583528,0.000000
85.600200,0.000927
85.616872,0.000000
85.633545,0.000000
85.650217,0.000874
85.666889,0.003278
85.683561,0.000761
85.700233,0.000000
85.716906,0.000000
85.733578,0.000000
85.750250,0.000000
85.766922,0.000000
85.783595,0.004693
85.800267,0.001525
85.816939,0.000000
85.833611,0.001439
85.850283,0.000000
85.866956,0.000000
85.883628,0.002715
85.900300,0.004577
85.916972,0.004134
85.933645,0.000000
85.950317,0.000000
85.966989,0.001471
85.983661,0.004331
86.000333,0.000000
86.017006,0.000000
86.033678,0.000000
86.050350,0.000000
86.067022,0.003607
86.083695,0.006020
86.100367,0.000000
86.117039,0.004455
86.133711,0.001605
86.150383,0.000000
86.167056,0.001604
86.183728,0.006827
86.200400,0.000000
86.217072,0.006946
86.233745,0.000000
86.250417,0.003648
86.267089,0.000386
86.283761,0.000000
86.300433,0.000407
86.317106,0.000000
86.333778,0.000000
86.350450,0.001585
86.367122,0.006560
86.383795,0.000000
86.400467,0.000000
86.417139,0.000000
86.433811,0.004064
86.450483,0.001459
86.467156,0.000000
86.483828,0.002278
86.500500,0.000431
86.517172,0.004300
86.533845,0.000000
86.550517,0.000000
86.567189,0.000000
86.583861,0.000000
86.600534,0.001315
86.617206,0.001159
86.633878,0.000023
86.650550,0.000000
86.667222,0.000000
86.683895,0.000000
86.700567,0.000000
86.717239,0.000000
86.733911,0.000000
86.750584,0.001794
86.767256,0.008373
86.783928,0.000775
86.800600,0.001143
86.817272,0.000000
86.833945,0.000000
86.850617,0.000000
86.867289,0.000267
86.883961,0.010935
86.900634,0.000000
86.917306,0.001339
86.933978,0.000000
86.950650,0.000000
86.967322,0.005073
86.983995,0.003338
87.000667,0.003511
87.017339,0.000000
87.034011,0.006227
87.050684,0.000000
87.067356,0.002605
87.084028,0.009724
87.100700,0.000000
87.117372,0.000000
87.134045,0.000442
87.150717,0.000000
87.167389,0.000000
87.184061,0.000304
87.200734,0.000000
87.217406,0.002102
87.234078,0.000000
87.250750,0.006880
87.267422,0.000000
87.284095,0.000000
87.300767,0.003611
87.317439,0.000000
87.334111,0.001010
87.350784,0.005803
87.367456,0.000000
87.384128,0.000820
87.400800,0.001154
87.417472,0.003471
87.434145,0.000000
87.450817,0.000000
87.467489,0.002317
87.484161,0.001318
87.500834,0.001112
87.517506,0.001538
87.534178,0.000000
87.550850,0.001031
87.567523,0.001301
87.584195,0.000000
87.600867,0.008282
87.617539,0.002103
87.634211,0.000000
87.650884,0.002914
87.667556,0.000000
87.684228,0.003494
87.700900,0.005143
87.717573,0.000000
87.734245,0.004277
87.750917,0.001832
87.767589,0.003649
87.784261,0.008420
87.800934,0.000000
87.817606,0.000000
87.834278,0.000000
87.850950,0.000000
87.867623,0.000000
87.884295,0.001514
87.900967,0.001228
87.917639,0.003672
87.934311,0.000058
87.950984,0.006452
87.967656,0.000000
87.984328,0.012075
88.001000,0.002777
88.017673,0.000000
88.034345,0.000000
88.051017,0.002142
88.067689,0.000000
88.084361,0.003170
88.101034,0.002101
88.117706,0.000000
88.134378,0.000000
88.151050,0.000000
88.167723,0.000000
88.184395,0.003802
88.201067,0.000950
88.217739,0.000000
88.234411,0.000769
88.251084,0.001710
88.267756,0.000000
88.284428,0.000682
88.301100,0.000258
88.317773,0.000000
88.334445,0.001588
88.351117,0.002489
88.367789,0.004808
88.384461,0.004678
88.401134,0.000000
88.417806,0.000000
