voltage_V,current_uA
1.0,4.0225
0.95,3.9563
0.9,4.0567
0.85,4.0194
0.8,4.0512
0.75,4.0397
0.7,3.9478
0.65,3.9647
0.6,4.0471
0.55,4.0385
0.5,3.9987
0.45,4.0074
0.4,4.0805
0.35,3.9627
0.3,4.0345
0.25,3.9873
0.2,3.9863
0.15,4.0692
0.1,4.052
0.05,4.0513
-0.0,4.0822
-0.05,4.0013
-0.1,4.043
-0.15,3.9805
-0.2,4.0204
-0.25,3.9918
-0.3,4.0061
-0.35,4.0375
-0.4,3.9485
-0.45,4.1318
-0.5,3.9366
-0.55,3.9235
-0.6,4.073
-0.65,4.0499
-0.7,4.0393
-0.75,4.0396
-0.8,3.9992
-0.85,3.9435
-0.9,4.0048
-0.95,3.9573
-1.0,4.0614
-1.05,3.9907
-1.1,3.948
-1.15,3.9798
-1.2,4.026
-1.25,3.9645
-1.3,3.9482
-1.35,4.0154
-1.4,4.0154
-1.45,3.9681
-1.5,3.9703
-1.55,4.0146
-1.6,3.9088
-1.65,3.9113
-1.7,3.9547
-1.75,3.9866
-1.8,4.0196
-1.85,4.0929
-1.9,4.054
-1.95,3.9899
-2.0,3.9988
-2.05,3.9368
-2.1,3.9988
-2.15,3.9818
-2.2,4.0203
-2.25,3.9479
-2.3,4.0327
-2.35,4.0965
-2.4,3.9931
-2.45,4.0252
-2.5,4.0433
-2.55,3.9744
-2.6,4.0135
-2.65,3.9996
-2.7,4.0041
-2.75,3.9475
-2.8,3.9946
-2.85,4.0188
-2.9,4.0686
-2.95,4.019
-3.0,4.0608
-3.05,3.8174
-3.1,3.8168
-3.15,3.5979
-3.2,3.4433
-3.25,2.8414
-3.3,2.3031
-3.35,1.7232
-3.4,1.0722
-3.45,0.7329
-3.5,0.4124
-3.55,0.2759
-3.6,0.1723
-3.65,0.2023
-3.7,0.1065
-3.75,0.0
-3.8,0.0
-3.85,0.0388
