# material: CdS
# radius_nm: 2.05
# wavelength_nm, intensity_au
300.0000,0.0000
301.0018,0.0000
302.0036,0.0036
303.0055,0.0000
304.0073,0.0000
305.0091,0.0000
306.0109,0.0000
307.0128,0.0000
308.0146,0.0000
309.0164,0.0020
310.0182,0.0000
311.0200,0.0000
312.0219,0.0000
313.0237,0.0000
314.0255,0.0255
315.0273,0.0000
316.0291,0.0134
317.0310,0.0277
318.0328,0.0000
319.0346,0.0000
320.0364,0.0346
321.0383,0.0046
322.0401,0.0075
323.0419,0.0000
324.0437,0.0137
325.0455,0.0000
326.0474,0.0000
327.0492,0.0000
328.0510,0.0000
329.0528,0.0022
330.0546,0.0000
331.0565,0.0096
332.0583,0.0009
333.0601,0.0000
334.0619,0.0000
335.0638,0.0124
336.0656,0.0230
337.0674,0.0000
338.0692,0.0000
339.0710,0.0390
340.0729,0.0000
341.0747,0.0018
342.0765,0.0000
343.0783,0.0043
344.0801,0.0343
345.0820,0.0051
346.0838,0.0213
347.0856,0.0006
348.0874,0.0000
349.0893,0.0000
350.0911,0.0000
351.0929,0.0044
352.0947,0.0245
353.0965,0.0032
354.0984,0.0000
355.1002,0.0000
356.1020,0.0071
357.1038,0.0000
358.1056,0.0000
359.1075,0.0180
360.1093,0.0000
361.1111,0.0000
362.1129,0.0000
363.1148,0.0145
364.1166,0.0033
365.1184,0.0000
366.1202,0.0000
367.1220,0.0000
368.1239,0.0060
369.1257,0.0000
370.1275,0.0000
371.1293,0.0009
372.1311,0.0000
373.1330,0.0000
374.1348,0.0222
375.1366,0.0000
376.1384,0.0026
377.1403,0.0000
378.1421,0.0000
379.1439,0.0000
380.1457,0.0000
381.1475,0.0486
382.1494,0.0052
383.1512,0.0248
384.1530,0.0174
385.1548,0.0201
386.1566,0.0000
387.1585,0.0330
388.1603,0.0180
389.1621,0.0023
390.1639,0.0072
391.1658,0.0000
392.1676,0.0044
393.1694,0.0034
394.1712,0.0132
395.1730,0.0419
396.1749,0.0000
397.1767,0.0343
398.1785,0.0070
399.1803,0.0434
400.1821,0.0157
401.1840,0.0359
402.1858,0.0307
403.1876,0.0068
404.1894,0.0849
405.1913,0.0416
406.1931,0.0742
407.1949,0.0653
408.1967,0.0755
409.1985,0.1162
410.2004,0.1288
411.2022,0.1402
412.2040,0.1884
413.2058,0.1876
414.2077,0.2505
415.2095,0.2790
416.2113,0.2680
417.2131,0.3457
418.2149,0.4064
419.2168,0.4186
420.2186,0.4947
421.2204,0.5389
422.2222,0.5567
423.2240,0.6238
424.2259,0.6874
425.2277,0.6994
426.2295,0.7574
427.2313,0.8270
428.2332,0.8267
429.2350,0.8894
430.2368,0.8911
431.2386,0.9374
432.2404,0.9726
433.2423,0.9332
434.2441,0.9825
435.2459,1.0078
436.2477,1.0038
437.2495,0.9828
438.2514,0.9593
439.2532,0.9764
440.2550,0.9345
441.2568,0.9239
442.2587,0.8882
443.2605,0.8353
444.2623,0.8260
445.2641,0.7502
446.2659,0.7413
447.2678,0.6979
448.2696,0.6456
449.2714,0.5739
450.2732,0.5818
451.2750,0.4880
452.2769,0.4452
453.2787,0.3970
454.2805,0.3340
455.2823,0.3439
456.2842,0.2705
457.2860,0.2668
458.2878,0.2407
459.2896,0.2014
460.2914,0.1500
461.2933,0.1341
462.2951,0.0670
463.2969,0.1001
464.2987,0.1026
465.3005,0.0679
466.3024,0.0488
467.3042,0.0443
468.3060,0.0658
469.3078,0.0329
470.3097,0.0648
471.3115,0.0110
472.3133,0.0224
473.3151,0.0058
474.3169,0.0530
475.3188,0.0127
476.3206,0.0497
477.3224,0.0000
478.3242,0.0349
479.3260,0.0057
480.3279,0.0193
481.3297,0.0000
482.3315,0.0084
483.3333,0.0000
484.3352,0.0060
485.3370,0.0000
486.3388,0.0000
487.3406,0.0222
488.3424,0.0112
489.3443,0.0000
490.3461,0.0000
491.3479,0.0100
492.3497,0.0317
493.3515,0.0000
494.3534,0.0420
495.3552,0.0000
496.3570,0.0000
